"test"," time-1464925730"," time-1465445492"," time-1465507416","range"
"Tests/Unit/crash/hole-crash1.hs"," 0.6671"," 0.6809"," 0.6506","0"
"Tests/Unit/crash/hole-crash2.hs"," 0.5983"," 0.6208"," 0.5695","0"
"Tests/Unit/crash/hole-crash3.hs"," 0.6608"," 0.6757"," 0.5882","0"
"Tests/Unit/crash/issue594.hs"," 0.6919"," 0.7097"," 0.6078","0"
"Tests/Unit/crash/num-float-error.hs"," 0.6971"," 0.6798"," 0.6198","0"
"Tests/Unit/crash/num-float-error1.hs"," 0.7417"," 0.6786"," 0.6096","0"
"Tests/Unit/crash/predparams.hs"," 0.6567"," 0.6642"," 0.5668","0"
"Tests/Unit/crash/typeAliasDup.hs"," 0.7848"," 0.7495"," 0.6723","0"
"Tests/Unit/eq_neg/Append.hs"," 2.7843"," 2.4911"," 2.3267","0"
"Tests/Unit/eq_neg/Fibonacci.hs"," 0.9253"," 0.7359"," 0.7142","0"
"Tests/Unit/eq_pos/AppendAxiom.hs"," 1.0609"," 1.0964"," 0.9816","0"
"Tests/Unit/eq_pos/AppendVerbose.hs"," 3.1062"," 3.1528"," 2.9201","0"
"Tests/Unit/eq_pos/Arrow.hs"," 0.7321"," 0.7324"," 0.6773","0"
"Tests/Unit/eq_pos/MapAppend.hs"," 0.0000"," 0.0001"," 0.0000","0"
"Tests/Unit/eq_pos/MonadicLaws.hs"," 7.9927"," 8.1565"," 7.2741","0"
"Tests/Unit/eq_pos/MonadicLawsMaybe.hs"," 1.2089"," 1.2120"," 1.1224","0"
"Tests/Unit/eq_pos/MonadicLawsMaybeAssoc.hs"," 1.3228"," 1.1932"," 1.0852","0"
"Tests/Unit/error/crash/TerminationExpr.hs"," 0.6922"," 0.6879"," 0.6176","0"
"Tests/Unit/error/crash/TerminationExpr1.hs"," 0.6886"," 0.7329"," 0.6286","0"
"Tests/Unit/neg/AbsApp.hs"," 0.7202"," 0.7120"," 0.6839","0"
"Tests/Unit/neg/Ast.hs"," 0.7505"," 0.7925"," 0.7015","0"
"Tests/Unit/neg/AutoSize.hs"," 0.7330"," 0.7344"," 0.6687","0"
"Tests/Unit/neg/AutoTerm.hs"," 0.7668"," 0.7626"," 0.6766","0"
"Tests/Unit/neg/AutoTerm1.hs"," 0.9357"," 0.7536"," 0.6961","0"
"Tests/Unit/neg/BadHMeas.hs"," 0.7629"," 0.7695"," 0.6777","0"
"Tests/Unit/neg/Baz.hs"," 0.7536"," 0.7241"," 0.6725","0"
"Tests/Unit/neg/BigNum.hs"," 0.7629"," 0.7230"," 0.6529","0"
"Tests/Unit/neg/Books.hs"," 0.8809"," 0.8384"," 0.7330","0"
"Tests/Unit/neg/CastedTotality.hs"," 0.7960"," 0.8130"," 0.7178","0"
"Tests/Unit/neg/Class1.hs"," 0.9142"," 0.9790"," 0.8689","0"
"Tests/Unit/neg/Class2.hs"," 0.7872"," 0.8227"," 0.7429","0"
"Tests/Unit/neg/Class3.hs"," 0.9131"," 0.8174"," 0.7193","0"
"Tests/Unit/neg/Class4.hs"," 0.9114"," 0.7682"," 0.7213","0"
"Tests/Unit/neg/Class5.hs"," 0.7430"," 0.7464"," 0.7003","0"
"Tests/Unit/neg/CompareConstraints.hs"," 1.3029"," 1.0062"," 0.9056","0"
"Tests/Unit/neg/Constraints.hs"," 0.8990"," 0.7730"," 0.6927","0"
"Tests/Unit/neg/ConstraintsAppend.hs"," 1.7592"," 1.3340"," 1.2414","0"
"Tests/Unit/neg/Eval.hs"," 0.9470"," 0.9347"," 0.8288","0"
"Tests/Unit/neg/Even.hs"," 0.7887"," 0.7671"," 0.6587","0"
"Tests/Unit/neg/FunSoundness.hs"," 0.9666"," 0.7440"," 0.6779","0"
"Tests/Unit/neg/FunctionRef.hs"," 0.7509"," 0.7733"," 0.6892","0"
"Tests/Unit/neg/GADTs.hs"," 1.0165"," 0.7629"," 0.6940","0"
"Tests/Unit/neg/GeneralizedTermination.hs"," 0.9038"," 0.7875"," 0.7342","0"
"Tests/Unit/neg/Gradual.hs"," 0.7655"," 0.7262"," 0.6624","0"
"Tests/Unit/neg/HasElem.hs"," 0.8000"," 0.7820"," 0.6874","0"
"Tests/Unit/neg/HigherOrder.hs"," 1.0545"," 0.7257"," 0.6693","0"
"Tests/Unit/neg/HolesTop.hs"," 1.0062"," 1.2579"," 0.7060","0"
"Tests/Unit/neg/LazyWhere.hs"," 0.9010"," 1.1432"," 0.7016","0"
"Tests/Unit/neg/LazyWhere1.hs"," 1.1380"," 1.3531"," 0.7035","0"
"Tests/Unit/neg/LiquidClass.hs"," 1.1718"," 0.7870"," 0.6828","0"
"Tests/Unit/neg/LiquidClass1.hs"," 0.9979"," 0.7697"," 0.6895","0"
"Tests/Unit/neg/ListConcat.hs"," 1.0515"," 0.7828"," 0.7217","0"
"Tests/Unit/neg/ListElem.hs"," 0.8245"," 0.7917"," 0.7120","0"
"Tests/Unit/neg/ListISort-LType.hs"," 0.9038"," 0.9602"," 0.8652","0"
"Tests/Unit/neg/ListISort.hs"," 1.2009"," 1.3206"," 1.1900","0"
"Tests/Unit/neg/ListKeys.hs"," 0.7571"," 0.7934"," 0.7179","0"
"Tests/Unit/neg/ListMSort.hs"," 1.6078"," 1.8098"," 1.4786","0"
"Tests/Unit/neg/ListQSort.hs"," 1.1827"," 1.2602"," 1.1171","0"
"Tests/Unit/neg/ListRange.hs"," 0.8317"," 0.8962"," 0.7744","0"
"Tests/Unit/neg/LocalSpec.hs"," 0.8188"," 0.7587"," 0.7382","0"
"Tests/Unit/neg/MeasureContains.hs"," 0.9191"," 0.8700"," 0.7260","0"
"Tests/Unit/neg/MeasureDups.hs"," 0.8543"," 0.8657"," 0.7640","0"
"Tests/Unit/neg/MergeSort.hs"," 1.9771"," 1.4689"," 1.0521","0"
"Tests/Unit/neg/MultiParamTypeClasses.hs"," 0.7988"," 0.7267"," 0.6858","0"
"Tests/Unit/neg/MultipleInvariants.hs"," 0.7754"," 0.7227"," 0.6853","0"
"Tests/Unit/neg/NoExhaustiveGuardsError.hs"," 0.8362"," 0.7081"," 0.6804","0"
"Tests/Unit/neg/NoMethodBindingError.hs"," 0.8506"," 0.7039"," 0.6595","0"
"Tests/Unit/neg/PairMeasure.hs"," 0.8403"," 0.7330"," 0.6849","0"
"Tests/Unit/neg/Propability.hs"," 0.9123"," 0.8353"," 0.7603","0"
"Tests/Unit/neg/Propability0.hs"," 0.7803"," 0.7648"," 0.6924","0"
"Tests/Unit/neg/RG.hs"," 1.2197"," 0.9082"," 0.8822","0"
"Tests/Unit/neg/RecQSort.hs"," 0.9816"," 1.0475"," 0.8401","0"
"Tests/Unit/neg/RecSelector.hs"," 0.8353"," 0.6908"," 0.6780","0"
"Tests/Unit/neg/SafePartialFunctions.hs"," 0.8513"," 0.7169"," 0.7190","0"
"Tests/Unit/neg/Solver.hs"," 1.6396"," 1.2330"," 1.2321","0"
"Tests/Unit/neg/StateConstraints.hs"," 1.3064"," 1.1650"," 1.1351","0"
"Tests/Unit/neg/StateConstraints00.hs"," 0.9235"," 0.7422"," 0.7816","0"
"Tests/Unit/neg/Strata.hs"," 0.8322"," 0.7229"," 0.7489","0"
"Tests/Unit/neg/StreamInvariants.hs"," 0.8890"," 0.7202"," 0.7326","0"
"Tests/Unit/neg/StrictPair0.hs"," 0.7719"," 0.7114"," 0.7442","0"
"Tests/Unit/neg/StrictPair1.hs"," 1.0308"," 0.9772"," 1.0078","0"
"Tests/Unit/neg/Strings.hs"," 0.7535"," 0.7138"," 0.7351","0"
"Tests/Unit/neg/Sum.hs"," 0.8211"," 0.7658"," 0.7756","0"
"Tests/Unit/neg/T602.hs"," 0.8215"," 0.7156"," 0.7536","0"
"Tests/Unit/neg/TermReal.hs"," 0.9881"," 0.7090"," 0.7424","0"
