"test"," time-1464925730"," time-1465445492","range"
"Tests/Unit/neg/coretologic.hs"," 0.8041"," 0.7827","0"
"Tests/Unit/neg/csv.hs"," 1.5350"," 1.4611","0"
"Tests/Unit/neg/datacon-eq.hs"," 0.7308"," 0.7723","0"
"Tests/Unit/neg/deppair0.hs"," 0.8466"," 0.8253","0"
"Tests/Unit/neg/deptupW.hs"," 0.8377"," 0.8686","0"
"Tests/Unit/neg/elim00.hs"," 0.7476"," 0.7628","0"
"Tests/Unit/neg/elim000.hs"," 0.7294"," 0.7433","0"
"Tests/Unit/neg/errmsg.hs"," 0.8453"," 0.8102","0"
"Tests/Unit/neg/errorloc.hs"," 0.8572"," 0.7860","0"
"Tests/Unit/neg/ex0-unsafe.hs"," 0.8907"," 0.8476","0"
"Tests/Unit/neg/ex1-unsafe.hs"," 0.9237"," 0.8315","0"
"Tests/Unit/neg/filterAbs.hs"," 0.9514"," 0.9409","0"
"Tests/Unit/neg/foldN.hs"," 1.0410"," 0.8038","0"
"Tests/Unit/neg/foldN1.hs"," 1.1702"," 0.7943","0"
"Tests/Unit/neg/grty0.hs"," 0.8599"," 0.7423","0"
"Tests/Unit/neg/grty1.hs"," 0.8688"," 0.8523","0"
"Tests/Unit/neg/grty2.hs"," 0.7886"," 0.8326","0"
"Tests/Unit/neg/grty3.hs"," 0.7226"," 0.7503","0"
"Tests/Unit/neg/inc2.hs"," 0.7619"," 1.2828","0"
"Tests/Unit/neg/list00.hs"," 0.8044"," 0.8240","0"
"Tests/Unit/neg/listne.hs"," 0.7222"," 0.6947","0"
"Tests/Unit/neg/lit.hs"," 0.7270"," 0.7250","0"
"Tests/Unit/neg/mapreduce-tiny.hs"," 0.8241"," 0.9619","0"
"Tests/Unit/neg/mapreduce.hs"," 2.0902"," 2.0190","0"
"Tests/Unit/neg/maps.hs"," 0.8398"," 0.8209","0"
"Tests/Unit/neg/meas0.hs"," 0.8224"," 0.7886","0"
"Tests/Unit/neg/meas2.hs"," 0.7847"," 0.7844","0"
"Tests/Unit/neg/meas3.hs"," 0.8229"," 0.8056","0"
"Tests/Unit/neg/meas5.hs"," 1.3433"," 1.3314","0"
"Tests/Unit/neg/meas7.hs"," 0.8509"," 0.7468","0"
"Tests/Unit/neg/meas9.hs"," 0.8219"," 0.8656","0"
"Tests/Unit/neg/monad3.hs"," 1.0369"," 0.9137","0"
"Tests/Unit/neg/monad4.hs"," 0.9278"," 0.8842","0"
"Tests/Unit/neg/monad5.hs"," 1.0087"," 0.8326","0"
"Tests/Unit/neg/monad6.hs"," 0.7931"," 0.7718","0"
"Tests/Unit/neg/monad7.hs"," 0.9976"," 0.9025","0"
"Tests/Unit/neg/mr00.hs"," 1.1886"," 0.8346","0"
"Tests/Unit/neg/multi-pred-app-00.hs"," 0.8066"," 0.6971","0"
"Tests/Unit/neg/nestedRecursion.hs"," 0.8786"," 0.7243","0"
"Tests/Unit/neg/pair.hs"," 1.6133"," 1.3739","0"
"Tests/Unit/neg/pair0.hs"," 1.4955"," 1.3136","0"
"Tests/Unit/neg/pargs.hs"," 0.7832"," 0.6930","0"
"Tests/Unit/neg/pargs1.hs"," 0.7752"," 0.7081","0"
"Tests/Unit/neg/partial.hs"," 0.9227"," 0.7203","0"
"Tests/Unit/neg/poly0.hs"," 0.9761"," 0.8006","0"
